Data,Unidade Origem,Unidade Destino,Documento,Produto (Saída),Produto (Entrada),Espécie,Valor Saída (R$),Valor Entrada (R$),Diferença (R$),Qtd Saída,Qtd Entrada,Diferença Qtd,Status,Tipo de Divergência,Qualidade Match,Observações,Detalhes Produto
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085596,SERINGA DESCARTAVEL 20 ML S/AGULHA,SERINGA DESCARTAVEL 20 ML S/AGULHA,MATERIAIS HOSPITALARES,89.31,89.3,0.01,250.0,250.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085596, Qtd:250.0)",Quantidade exata
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392080,"ENOXAPARINA SODICA SER 80MG 0,8ML(CLEXANE)(M.A.R)","ENOXAPARINA SODICA SER 80MG 0,8ML(CLEXANE)(M.A.R)",MEDICAMENTOS HOSPITALARES,152.16,152.2,-0.04,10.0,10.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392080, Qtd:10.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087664,LEVODOPA 125MG BD (PROLOPA) - COMP,-,MEDICAMENTOS HOSPITALARES,45.02,,,30.0,,,❌ Não Conforme,Documento 5087664 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087645,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,MATERIAIS HOSPITALARES,169.71,169.71,0.0,60.0,60.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087645, Qtd:60.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,DERSANI 30ML,-,MATERIAIS HOSPITALARES,35.73,,,5.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL EVANGELICO - REDE CASA,9391489,MASCARA DESCARTAVEL COM ELASTICO,MASCARA DESCARTAVEL COM ELASTICO,MATERIAIS HOSPITALARES,45.23,45.23,0.0,300.0,300.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9391489, Qtd:300.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087645,COMPRESSA DE GAZE NAO ESTERIL C/ 500 FLS,COMPRESSA DE GAZE NAO ESTERIL C/ 500 FLS,MATERIAIS HOSPITALARES,30.88,30.88,0.0,2.0,2.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087645, Qtd:2.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086341,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,MATERIAIS HOSPITALARES,56.57,56.57,0.0,20.0,20.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5086341, Qtd:20.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,SONDA DE ASPIRACAO N 12,-,MATERIAIS HOSPITALARES,16.64,,,30.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,METOPROLOL SUCCINATO COMP 25MG (SELOZOK),-,MEDICAMENTOS HOSPITALARES,1.37,,,4.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,LUVA ESTERIL Nº 7.0 - PAR,-,MATERIAIS HOSPITALARES,22.84,,,20.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392622,COMPRESSA CAMPO OPERATORIO ESTÉRIL 25X28CM C/RX,-,MATERIAIS HOSPITALARES,994.23,,,190.0,,,❌ Não Conforme,Documento 9392622 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9392589,MANIDIPINO COMP 10MG (MANIVASC),MANIDIPINA COMP 10MG (MANIVASC),MEDICAMENTOS HOSPITALARES,55.87,175.33,-119.46,30.0,30.0,0.0,⚠️ Não Conforme,Valor muito divergente (>50%),⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392589, Qtd:30.0)",Quantidade exata
2025-12-07,CASA DE PORTUGAL,HOSPITAL EVANGELICO - REDE CASA,9391489,LINEZOLIDA  600MG BOLSA 300ML (ZYVOX),LINEZOLIDA 600 MG 300 ML (ZYVOX) - BOLSA,MEDICAMENTOS HOSPITALARES,65.23,65.23,0.0,4.0,4.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9391489, Qtd:4.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086131,FRALDA GERIATRICA G,FRALDA GERIATRICA G,MATERIAIS HOSPITALARES,80.83,80.93,-0.1,45.0,45.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5086131, Qtd:45.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,KIT DESCARTAVEL HIGIENIZACAO (DRYBATH / KIT ISOTEX),KIT DESCARTAVEL HIGIENIZACAO (DRYBATH / KIT ISOTEX),MATERIAIS HOSPITALARES,54.0,54.0,0.0,12.0,12.0,0.0,✅ Conforme,-,⭐⭐ Bom,Score:81% | Doc:✓5085436 | Prod:69% | Esp:✓ | Data:mesma | Valor:≈,Texto:100% | Princípio:100% | Palavras:4
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087645,LUVA DE PROCEDIMENTO LATEX TAM. M - UNIDADE,LUVA DE PROCEDIMENTO LATEX TAM. M - UNIDADE,MATERIAIS HOSPITALARES,71.12,71.12,0.0,400.0,400.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087645, Qtd:400.0)",Quantidade exata
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,ACIDO URSODESOXICÓLICO 150MG COMPRIMIDOS (URSACOL),-,MEDICAMENTOS HOSPITALARES,8.94,,,3.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392101,MASCARA P/ TUBERCULOSE PFF 2 / N 95 (BICO DE PATO),MASCARA P/ TUBERCULOSE PPR 95 (BICO DE PATO),MATERIAIS HOSPITALARES,12.46,12.5,-0.04,10.0,10.0,0.0,✅ Conforme,-,⭐⭐ Bom,Score:80% | Doc:✓9392101 | Prod:66% | Esp:✓ | Data:mesma | Valor:≈,Texto:91% | Princípio:100% | Palavras:4
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,ANLODIPINA COMP 5MG (NORVASC),-,MEDICAMENTOS HOSPITALARES,0.09,,,3.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL EVANGELICO - REDE CASA,9392113,MASCARA P/ TUBERCULOSE PFF 2 / N 95 (BICO DE PATO),MASCARA N 95 (BICO DE PATO),MATERIAIS HOSPITALARES,12.46,12.46,0.0,10.0,10.0,0.0,✅ Conforme,-,⭐ Razoável,Score:72% | Doc:✓9392113 | Prod:49% | Esp:✓ | Data:mesma | Valor:≈,Texto:71% | Princípio:71% | Palavras:3
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087664,LOSARTANA POTASSICA 50 MG (COZAAR) - COMP,-,MEDICAMENTOS HOSPITALARES,1.44,,,30.0,,,❌ Não Conforme,Documento 5087664 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087650,KIT DESCARTAVEL HIGIENIZACAO (DRYBATH / KIT ISOTEX),KIT DESCARTAVEL HIGIENIZACAO (DRYBATH / KIT ISOTEX),MATERIAIS HOSPITALARES,45.0,45.0,0.0,10.0,10.0,0.0,✅ Conforme,-,⭐⭐ Bom,Score:81% | Doc:✓5087650 | Prod:69% | Esp:✓ | Data:mesma | Valor:≈,Texto:100% | Princípio:100% | Palavras:4
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087664,AMIODARONA 200MG (ATLANSIL) - COMP,-,MEDICAMENTOS HOSPITALARES,13.16,,,30.0,,,❌ Não Conforme,Documento 5087664 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086131,"COMPRESSA NWV 40GR 0,25 X 0,30 (TM1)","COMPRESSA NWV 40GR 0,25 X 0,30 (TM1)",MATERIAIS HOSPITALARES,22.95,22.95,0.0,135.0,135.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5086131, Qtd:135.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086131,KIT DESCARTAVEL HIGIENIZACAO (DRYBATH / KIT ISOTEX),KIT DESCARTAVEL HIGIENIZACAO (DRYBATH / KIT ISOTEX),MATERIAIS HOSPITALARES,40.5,40.5,0.0,9.0,9.0,0.0,✅ Conforme,-,⭐⭐ Bom,Score:81% | Doc:✓5086131 | Prod:69% | Esp:✓ | Data:mesma | Valor:≈,Texto:100% | Princípio:100% | Palavras:4
2025-12-07,CASA DE PORTUGAL,HOSPITAL EVANGELICO - REDE CASA,9392113,MASCARA DESCARTAVEL C/ CLIPS E FILTRO,MASCARA DESCARTAVEL C/ CLIPS E FILTRO,MATERIAIS HOSPITALARES,21.78,21.78,0.0,100.0,100.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,Score:100% | Agrupado (Soma 2 itens: 150 un),Match por agrupamento de saída
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,ABSORVENTE GERIATRICO,ABSORVENTE GERIATRICO,MATERIAIS HOSPITALARES,25.04,27.86,-2.82,48.0,48.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085436, Qtd:48.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,MICROPORE (50CM X 10M),MICROPORE (50CM X 10M),MATERIAIS HOSPITALARES,20.27,20.12,0.15,2.0,2.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085436, Qtd:2.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087645,MICROPORE (50CM X 10M),MICROPORE (50CM X 10M),MATERIAIS HOSPITALARES,20.27,20.27,0.0,2.0,2.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087645, Qtd:2.0)",Quantidade exata
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,AMPICILINA FR/AMP 1G.,-,MEDICAMENTOS HOSPITALARES,17.57,,,4.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL EVANGELICO - REDE CASA,9392113,MASCARA DESCARTAVEL C/ CLIPS E FILTRO,MASCARA DESCARTAVEL C/ CLIPS E FILTRO,MATERIAIS HOSPITALARES,10.89,10.89,0.0,50.0,50.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,Score:100% | Agrupado (Soma 2 itens: 150 un),Match por agrupamento de saída
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,RINGER LACTATO 500ML - FR,-,MEDICAMENTOS HOSPITALARES,103.53,,,20.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086341,DESCARPACK 7L (COLETOR P/ PERFUROCORTANTE),DESCARPACK 7L (COLETOR P/ PERFUROCORTANTE),MATERIAIS HOSPITALARES,10.11,10.11,0.0,3.0,3.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5086341, Qtd:3.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,JELCO 22 DISP.SEGURANCA,-,MATERIAIS HOSPITALARES,147.55,,,50.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392101,AVENTAL DESCART MANGA LONGA/PUNHO MALHA 30GR,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,MATERIAIS HOSPITALARES,444.82,445.5,-0.68,150.0,150.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392101, Qtd:150.0)",Quantidade exata
2025-12-07,CASA DE PORTUGAL,HOSPITAL RIO LARANJEIRAS - REDE CASA,9392106,AVENTAL DESCART MANGA LONGA/PUNHO MALHA 30GR,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,MATERIAIS HOSPITALARES,889.64,889.64,0.0,300.0,300.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392106, Qtd:300.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086341,MICROPORE (50CM X 10M),MICROPORE (50CM X 10M),MATERIAIS HOSPITALARES,10.13,10.13,0.0,1.0,1.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5086341, Qtd:1.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087650,"COMPRESSA NWV 40GR 0,25 X 0,30 (TM1)","COMPRESSA NWV 40GR 0,25 X 0,30 (TM1)",MATERIAIS HOSPITALARES,25.5,25.5,0.0,150.0,150.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087650, Qtd:150.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,LUVA DE PROCEDIMENTO LATEX TAM. M - UNIDADE,LUVA DE PROCEDIMENTO LATEX TAM. M - UNIDADE,MATERIAIS HOSPITALARES,71.12,139.7,-68.58,400.0,400.0,0.0,⚠️ Não Conforme,Valor muito divergente (>50%),⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085436, Qtd:400.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA EVANGÉLICO - REDE CASA,5086337,TRAMADOL CLORIDRATO 50 MG (TRAMAL) - CAPS,-,MEDICAMENTOS HOSPITALARES,4.17,,,30.0,,,❌ Não Conforme,Documento 5086337 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392101,MASCARA DESCARTAVEL COM ELASTICO,MASCARA DESCARTAVEL COM ELASTICO,MATERIAIS HOSPITALARES,60.3,60.0,0.3,400.0,400.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392101, Qtd:400.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,FRALDA GERIATRICA G,FRALDA GERIATRICA G,MATERIAIS HOSPITALARES,107.78,112.55,-4.77,60.0,60.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085436, Qtd:60.0)",Quantidade exata
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,PREDNISONA COMP 5MG (METICORTEN),-,MEDICAMENTOS HOSPITALARES,0.47,,,3.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,AVENTAL DESCART MANGA LONGA/PUNHO MALHA,MATERIAIS HOSPITALARES,56.57,63.11,-6.54,20.0,20.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085436, Qtd:20.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085436,"COMPRESSA NWV 40GR 0,25 X 0,30 (TM1)","COMPRESSA NWV 40GR 0,25 X 0,30 (TM1)",MATERIAIS HOSPITALARES,30.6,30.61,-0.01,180.0,180.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085436, Qtd:180.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087664,DIPIRONA 500 MG (NOVALGINA) - COMP,-,MEDICAMENTOS HOSPITALARES,4.21,,,30.0,,,❌ Não Conforme,Documento 5087664 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392080,"ENOXAPARINA SODICA SER 60MG 0,6ML(CLEXANE)(M.A.R)","ENOXAPARINA SODICA SER 60MG 0,6ML(CLEXANE)(M.A.R)",MEDICAMENTOS HOSPITALARES,267.78,267.8,-0.02,20.0,20.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392080, Qtd:20.0)",Quantidade exata
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,CLOPIDOGREL COMP 75MG (PLAVIX) (M.A.R),-,MEDICAMENTOS HOSPITALARES,1.9,,,3.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087650,FRALDA GERIATRICA G,FRALDA GERIATRICA G,MATERIAIS HOSPITALARES,89.81,89.82,-0.01,50.0,50.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087650, Qtd:50.0)",Quantidade exata
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085596,SERINGA DESCARTAVEL 10 ML S/AGULHA,SERINGA DESCARTAVEL 10 ML S/AGULHA,MATERIAIS HOSPITALARES,52.04,52.05,-0.01,250.0,250.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085596, Qtd:250.0)",Quantidade exata
2025-12-06,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085232,FEXOFENADINA CLORIDRATO 180 MG (ALLEGRA) - COMP,FEXOFENADINA CLORIDRATO 180 MG (ALLEGRA) - COMP,MEDICAMENTOS HOSPITALARES,23.25,23.25,0.0,20.0,20.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085232, Qtd:20.0)",Quantidade exata
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390727,"FIO VICRYL 0 70CM 1/2 AG 4,0CM (J 352 H)",-,MATERIAIS HOSPITALARES,20.68,,,2.0,,,❌ Não Conforme,Documento 9390727 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390728,JELCO 22 DISP.SEGURANÇA,-,MATERIAIS HOSPITALARES,3.02,,,1.0,,,❌ Não Conforme,Documento 9390728 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390728,LIDOCAINA 2% S/V FR 20ML (XYLESTESIN),-,MEDICAMENTOS HOSPITALARES,3.81,,,1.0,,,❌ Não Conforme,Documento 9390728 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390712,"FIO MONONYLON 5-0 45CM 3/8 AG 1,9CM ( 14501 T )",-,MATERIAIS HOSPITALARES,3.97,,,1.0,,,❌ Não Conforme,Documento 9390712 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390728,"AGULHA DESC. 13X4,5",-,MATERIAIS HOSPITALARES,0.12,,,2.0,,,❌ Não Conforme,Documento 9390728 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390728,MICROPORE ESTERIL DE 30CM,-,MATERIAIS HOSPITALARES,2.99,,,2.0,,,❌ Não Conforme,Documento 9390728 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5085232,BISOPROLOL FURAMATO 5MG (CONCOR) - COMP,BISOPROLOL FURAMATO 5MG (CONCOR) - COMP,MEDICAMENTOS HOSPITALARES,9.18,9.18,0.0,30.0,30.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5085232, Qtd:30.0)",Quantidade exata
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390727,MICROPORE ESTERIL DE 30CM,-,MATERIAIS HOSPITALARES,8.97,,,6.0,,,❌ Não Conforme,Documento 9390727 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390727,BRONQUINHO  (ASSEPT KIT),-,MATERIAIS HOSPITALARES,4.61,,,1.0,,,❌ Não Conforme,Documento 9390727 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-06,CASA DE PORTUGAL,HOSPITAL DE CANCER - REDE CASA,9390727,BRONQUINHO  (ASSEPT KIT),-,MATERIAIS HOSPITALARES,4.61,,,1.0,,,❌ Não Conforme,Documento 9390727 não encontrado na entrada,-,Sem correspondência encontrada,-
